formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
EuGe12Pt4,ICSD,174556,700,2.19588e-05,0.00015596,1.38903,1.05248,1.9752e-09,9.79257e-09,3.65157,0.868078
EuIn2Te4,ICSD,631353,700,2.86904e-05,0.000166963,1.43862,1.12935,1.29058e-07,8.24195e-09,2.78497,0.260029
EuSb4Sn3,ICSD,411250,700,2.02739e-05,0.000191145,1.55588,1.19363,2.84088e-09,6.57319e-09,2.09033,0.209692
FePb4Sb6Se14,ICSD,424710,700,8.19867e-05,0.000206934,1.80961,1.20965,8.89967,1.71115e-08,30.1648,0.298603
Ga16Se33Zn4,COD,4106293,700,0.000159706,0.000194844,0.831522,1.05189,149.194,1.27415e-08,2.16561,0.12136
Ga2HgSe4,COD,5910282,700,0.000407043,0.000245531,0.939539,1.0404,1.42154e+06,9.73734e-09,3.22884,0.197427
Ga2HgTe4,ICSD,53575,700,0.000103747,0.000256726,1.25618,1.11372,224.329,7.58352e-09,5.67734,0.882015
Ga2MnSe4,ICSD,634676,700,7.90264e-05,0.000210276,1.11295,1.00119,0.000134643,1.09033e-08,8.37182,0.164892
Ga2PbSe4,ICSD,635052,700,0.000225121,0.000243679,1.47628,1.03739,14.1646,9.66331e-09,13.435,0.297393
Ga2Se2Te,ICSD,64617,700,0.000116434,0.000205632,1.20975,1.04417,283.662,8.31985e-09,8.49746,0.122879
Ga2Se3,ICSD,37168,700,0.00013571,0.000190231,1.10374,1.02957,0.107411,1.25117e-08,9.59022,0.11896
Ga2Se4Yb,ICSD,635414,700,6.26761e-05,0.000153454,1.13763,1.02409,0.00149855,1.12725e-08,1.59404,0.243358
Ga2Se4Zn,COD,5910318,700,0.000191514,0.000198664,0.763672,1.04739,804.221,1.20779e-08,1.83631,0.121991
Ga2SrTe4,ICSD,41166,700,3.2205e-05,0.000160462,1.0548,1.05041,1.4149e-06,1.01751e-08,1.70391,0.230555
Ga2Te3,ICSD,657608,700,4.06494e-05,0.000208254,1.73487,1.13631,3.34431e-06,8.43118e-09,11.4902,0.0703218
Ga2Te4Zn,COD,5910274,700,7.40803e-05,0.000218972,1.11631,1.09087,1.8348,9.59535e-09,4.76168,0.687983
Ga2Te5,ICSD,635505,700,3.97543e-05,0.000214168,3.65734,1.10049,1.71737e-05,1.00879e-08,18.578,0.0818978
Ga3InTe5,ICSD,634434,700,3.74779e-05,0.000214874,1.70985,1.14387,1.76594e-06,8.9677e-09,6.89938,0.0710836
Ga3NaSe5,ICSD,402880,700,0.000102182,0.000190828,0.979289,1.04878,0.0015427,4.63983e-09,3.90262,0.227153
Ga3NaTe5,ICSD,402329,700,4.01211e-05,0.000205273,1.14682,1.1448,0.000572227,4.44683e-09,2.16545,0.176363
Ga4Ge2Yb,ICSD,423996,700,5.30674e-05,0.000169348,0.916186,1.02101,1.78217e-07,9.12406e-09,1.00047,0.203368
Ga4GePb4Se12,ICSD,250747,700,0.000146639,0.000225276,1.41105,1.09531,11.7768,1.10837e-08,8.87562,0.333934
Ga4NaNdSe8,COD,4304492,700,4.86021e-05,0.000156751,1.12469,1.00136,2.24195e-05,7.5172e-09,5.36115,0.26041
Ga4Se7Sn,COD,4001921,700,0.000137019,0.000206769,1.15042,1.04446,11.2264,9.69668e-09,10.8901,0.116706
Ga7Te10,ICSD,400668,700,3.94109e-05,0.000207547,1.53056,1.12974,1.90967e-06,8.45496e-09,7.20394,0.0689265
GaGeTe,ICSD,35386,700,4.86271e-05,0.000214125,1.24078,1.10165,0.0129763,7.91446e-09,5.39676,0.100069
GaInSe2,ICSD,601131,700,0.000101483,0.000204343,1.462,1.03587,0.00178853,9.36436e-09,11.857,0.13046
GaInSe3,ICSD,634431,700,0.000100496,0.000205944,1.53009,1.04249,0.00150257,9.06688e-09,15.4644,0.115461
GaInTe2,ICSD,60084,700,3.99636e-05,0.000215412,1.61698,1.1296,1.05212e-06,9.78006e-09,7.02865,0.0930588
GaSb,COD,9008847,700,4.29451e-05,0.000200226,1.01164,1.09357,2.37819e-06,7.17078e-09,1.74886,0.0688314
GaSe,ICSD,20237,700,0.000151998,0.000190234,1.15928,1.01447,0.664443,1.31734e-08,8.79527,0.121915
GaSe2Tl,COD,4000782,700,0.000139582,0.00025157,1.30454,1.15894,0.0475939,1.17761e-08,13.0946,0.25844
GaTe,ICSD,43328,700,4.3157e-05,0.000218224,1.15234,1.11412,1.25277e-06,6.2799e-09,3.73612,0.0611102
GaTe2Tl,COD,1527851,700,0.00010288,0.000270714,1.33657,1.19721,0.000312539,6.74453e-09,5.72318,0.0870543
GdTe6Tl9,ICSD,427737,700,4.66085e-05,0.000173856,0.8001,1.21973,1.1117e-06,8.03236e-09,0.986653,0.182269
Ge12NdPt4,ICSD,174555,700,3.48213e-05,0.000163498,1.4142,1.00622,9.09474e-06,1.15669e-08,4.25808,0.823792
Ge12PrPt4,ICSD,174554,700,3.50241e-05,0.0001554,1.41608,1.00622,1.01038e-05,1.00275e-08,4.20363,0.823792
