id,T,formula,database,zT_pred,zT_std,mp_id,source
411861,700,As4Br6Hg6Sn,ICSD,1.6484863999999997,0.11691854,mp-567185,gurobi
4111783,1000,AgSbTe2,COD,1.6482376,0.13974565,mp-12359,gurobi
180364,1000,Ga5Pt,ICSD,1.6471465,0.12725772,mp-1199016,gurobi
611241,1000,AsPt5Tl,ICSD,1.6437073,0.12822677,mp-1025353,gurobi
59110,1000,CsI4Tl,ICSD,1.6431034,0.1326393,mp-28332,gurobi
151996,1000,I5InSn2,ICSD,1.6410843000000002,0.1440782,mp-23417,gurobi
164149,1000,Co2Sn3Te3,ICSD,1.6344018,0.1291191,mp-866481,gurobi
8102896,1000,CsPPbS4,COD,1.634081,0.14964919,mp-562569,gurobi
9012347,1000,PdSb2,COD,1.6318936000000002,0.14961536,mp-1356,gurobi
416330,1000,AgK3Se8Sn3,ICSD,1.6317546,0.12907328,mp-571594,gurobi
1008205,1000,ISbTe,COD,1.6307037,0.14710133,mp-28051,gurobi
634431,1000,GaInSe3,ICSD,1.6304011,0.13378292,,gurobi
400669,1000,In7Te10,ICSD,1.6284164,0.14639837,mp-669311,gurobi
166870,1000,CoSn3,ICSD,1.6278468,0.12285829,mp-985707,gurobi
99296,1000,CoCu2Se4Sn,ICSD,1.6276917,0.13341306,mp-11771,gurobi
159465,700,Bi2BrInSe4,ICSD,1.6256516,0.1324438999999999,mp-571169,gurobi
74456,1000,CuGaTe2,ICSD,1.6231361999999998,0.12008074,mp-3839,gurobi
425490,1000,In4Se3,ICSD,1.6223259,0.13462567,mp-19932,both
1510585,1000,Au7Ga2,COD,1.6220877,0.1407511,mp-571598,gurobi
416513,1000,CoPd2Se2,ICSD,1.6197106,0.14963612,mp-12464,gurobi
9008069,1000,AgCuSe,COD,1.618996,0.11249454,,gurobi
4313802,1000,CsHgSe3Sm,COD,1.6167268999999995,0.14829597,mp-7212,gurobi
