material_id,formula,icsd_ids
mp-726,SeO2,"[412233, 59712, 24022, 72367, 647400, 72366]"
mp-980769,SmCu,[629252]
mp-8952,HoAsPd,[71619]
mp-7273,Te8Rh3,[2186]
mp-8959,CsK2PdF5,[72301]
mp-8958,RbPd2F5,[72299]
mp-980937,Tb2Co12P7,[624642]
mp-8960,Ba3NaNbO6,[72330]
mp-8961,Ba3NaTaO6,[72331]
mp-8979,TaInO4,[72569]
mp-7302,CrP4,[2790]
mp-7303,ErCd3,[2834]
mp-7310,ZrPbF6,[4051]
mp-9008,RbTeAu,[71652]
mp-9010,RbAuS,[71654]
mp-9028,PrBN2,"[410124, 72107]"
mp-7642,K2AgAs,[1154]
mp-9039,Sr4IrO6,[72926]
mp-905,LaF3,"[252346, 74733, 89523, 74731, 60232, 31049, 28953, 164053, 96132, 155553, 60233, 23972, 74734, 74728, 28538, 246322, 74735, 74732, 63055, 74730, 74729]"
mp-7352,MgCuP,[8221]
mp-9066,NaLi2AsO4,[73200]
mp-9068,K2NaAlP2,[73279]
mp-9107,NaZrCuS3,[73887]
mp-9132,Ta3SnS6,[74692]
mp-9172,Li4TiO4,[75164]
mp-8220,LiTb(CuP)2,[35589]
mp-7436,KCuTe,[12158]
mp-8221,ZrAsRu,"[611301, 35593]"
mp-6914,CaGa,"[260641, 619272, 419100]"
mp-6916,Sm(BC)2,[416178]
mp-6917,TmAgSn,[417550]
mp-692,Tb2C,"[42762, 108187, 42761]"
mp-8236,Ba(PPd)2,[36375]
mp-672290,EuPPt,"[33814, 631489]"
mp-7437,KZnP,[12160]
mp-7738,LaSeF,[21010]
mp-672299,YInNi,[59455]
mp-8255,CaPtF6,[37443]
mp-8256,ZnPtF6,[37444]
mp-672307,NdInPt,[59429]
mp-672310,Th(GeRu)2,[637761]
mp-8269,Lu2CdS4,"[37410, 620127]"
mp-8278,Ba(MgP)2,[30914]
mp-8528,Tm(SiRh)2,[62725]
mp-7438,KZnSb,[12161]
mp-8290,BaSnF6,[33788]
mp-8291,BaTiF6,[33789]
mp-8298,Sr4P2O,[33903]
mp-7768,Th2SeN2,[23211]
mp-8307,CaNi4B,"[612693, 36504, 612691]"
mp-8312,Ta5As4,"[611453, 36525]"
mp-9341,GdAgGe,"[605263, 81556]"
mp-9351,LuGeAu,[81734]
mp-9349,KRb2ScF6,[81683]
mp-8335,Ba2ZrO4,[39707]
mp-9357,Th(CrB3)2,[81543]
mp-8348,TlSbF6,[36264]
mp-9362,RbPrS2,[81396]
mp-9363,RbNdS2,[81397]
mp-9364,RbSmS2,[81398]
mp-9365,RbTbS2,[81401]
mp-9367,RbErS2,[81404]
mp-9366,RbHoS2,[81403]
mp-9368,RbTmS2,[81405]
mp-9370,RbLuS2,[81407]
mp-9378,Na(SnAs)2,[82366]
mp-9381,Zr6FeTe2,[82530]
mp-8365,MnB,"[614725, 76630, 614742]"
mp-9384,CsAu3S2,[82540]
mp-9385,RbAu3Se2,[82541]
mp-9386,CsAu3Se2,[82542]
mp-9392,Sr4Al6TeO12,[82609]
mp-9418,Eu(CuO2)2,[83489]
mp-9417,Sm(CuO2)2,[83488]
mp-9416,La(CuO2)2,[83486]
mp-9420,Dy(CuO2)2,[83491]
mp-9421,Ho(CuO2)2,[83492]
mp-973585,LuIO,[240948]
mp-7769,Th2SN2,[23213]
mp-8405,Li3LaSb2,[]
mp-943,Co3S4,"[31095, 25560, 24212, 106489, 56125, 624840]"
mp-8406,Li3NdAs2,[]
mp-8407,Li3LaP2,[]
mp-8409,KYO2,[49650]
mp-973629,LuAlPd,[603268]
mp-7770,Sr(ZnAs)2,[23248]
mp-973634,Ho(AlC)3,[606218]
mp-7771,Sr(CdAs)2,[23249]
mp-8431,Ca(BRh)2,[49737]
mp-9819,RbAsF6,[408069]
mp-981935,Li5Mg,[]
mp-9820,CsAsF6,[408070]
mp-982004,SmInPd,[640248]
mp-9463,ZrGeSb,[85000]
mp-8452,NaLiS,[61091]
mp-8507,Sr(P3Pt2)2,[62517]
mp-6989,BaSeO3,[54156]
mp-703476,P2H16N4O7,[27556]
mp-980195,Tm6Al7Cu16,[607165]
mp-7291,CrP2,[2526]
mp-9227,Ti3Se4,[79629]
mp-8217,Cs2GeF6,[35547]
mp-672294,Eu(CoSi)2,[622874]
mp-7600,Th(FeSi)2,[68209]
mp-9350,ScGeAu,[81733]
mp-545436,Ba2YbBiO6,[80902]
mp-6474,Ba3MgNb2O9,"[163554, 240277, 95406, 95497]"
mp-541097,Zr3Pb(O2F3)2,[60959]
mp-25003,Ba2UMnO6,[21104]
mp-571098,Lu(FeSi)2,[632475]
mp-7561,SrPd3O4,[16537]
mp-4131,Sc(CoSi)2,"[624957, 624959]"
mp-570457,Mg6Si7Ni16,[159261]
mp-569396,BaLi2(MgGe)2,[409576]
mp-569281,HoB4,[109318]
mp-12571,HfBeSi,[108103]
mp-969,YbAl2,"[609677, 609673, 609685, 58223, 58222, 609682, 609683, 609675, 609674]"
mp-568083,LaNi2B2C,[79562]
mp-31298,ErSnRh,"[411825, 631028]"
mp-3173,CaAlSi,"[162864, 155853]"
mp-867786,ScNbOs2,[]
mp-1102777,SmNiP,[646150]
mp-21171,MnGaCo2,"[623121, 623118, 102438, 185084, 623116]"
mp-865334,Lu2NiOs,[]
mp-22898,KI,"[53843, 44283, 52244, 22158, 53827]"
mp-863667,Er2TlAg,[]
mp-864961,Be2PdPt,[]
mp-865178,Hf2IrRh,[]
mp-867882,SmCdAu2,[]
mp-7375,KNbO3,"[190923, 9534]"
mp-3277,BAsO4,"[413438, 26891]"
mp-34081,NaYF4,[]
mp-542136,Na3PSO3,[]
mp-625521,H3BrO,[]
mp-28020,AlCuCl4,[35050]
mp-540787,K3V5O14,"[24068, 248227]"
mp-9321,Ba2HfS4,[80652]
mp-1221211,Na3WNO3,[]
mp-1200584,La3Zn22,[642095]
mp-6485,La3SiAgSe7,"[605509, 83933, 418059]"
mvc-11744,Ca(TiS2)4,[]
mp-684,BaS2,"[2004, 23639, 42134]"
mp-7095,CeCoSi2,"[16501, 620786]"
mp-684031,Mg3(TiAl9)2,"[608446, 107850]"
mp-711,CeGa6,"[621107, 152562, 102167, 621109]"
mp-7124,TbSiPt,"[90291, 649625]"
mp-7126,TiSnSb,[97545]
mp-7129,Rb2Ti(CuS2)2,[280644]
mp-7137,LiTbO2,[21013]
mp-979046,Tm2Co12P7,[624655]
mp-7193,Lu2Si2O7,[412249]
mp-7199,RbPrTe4,[412794]
mp-720,TlF,"[90997, 16112, 90995, 90992, 90998, 90999, 90996, 16113, 90994]"
mp-979260,Sc6Ga16Ru7,[635231]
mp-6509,Sr3GaO4F,"[50735, 50734]"
mp-771631,LiVNiO4,[]
mp-9793,Ba3BAsO3,[402682]
mp-684675,V12P7,[]
mp-6520,Ba3MgRu2O9,"[41896, 33529]"
mp-979911,Y2Au,[262044]
mp-6528,Cs2NaAlF6,"[93459, 200305, 41801, 93458]"
mp-979948,SmNiB4,[615013]
mp-8969,Mg2Ni3P,[72409]
mp-7288,Sc2SO2,[2450]
mp-7298,Li(CuP)2,"[181810, 247090, 2734]"
mp-8994,Rb2NbF6,[72831]
mp-730,P2Pt,"[647970, 602147, 647971, 43103, 71029, 647967, 15026, 74514]"
mp-8995,Cs2NbF6,[72832]
mp-9812,ZnCO3,[100679]
mp-981207,Yb3In3Ge2Au,[]
mp-7322,CsU2O6,[4206]
mp-7331,Cs2MgFe(CN)6,[6086]
mp-9023,ScSiAu,[71998]
mp-9024,LuSiAu,[71999]
mp-9033,Np(SiOs)2,[73034]
mp-9036,KSmTe2,[73547]
mp-9037,CsPrS2,[73548]
mp-9025,YSiAu,[72000]
mp-9042,Np(SiPd)2,[73030]
mp-7349,Ba(BRh)2,[8155]
mp-7348,Sr(BRh)2,[8153]
mp-9059,KLi6TaO6,[73159]
mp-9075,CdCuF4,[73478]
